% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
10.761	1	1	2	10774.6	0
10.801	1	1	2	19238.6	0
10.841	1	1	2	26155.3	0
10.881	1	1	2	23166.5	0
10.921	1	1	2	16714.6	0
10.961	1	1	2	12102.8	0
11.001	1	1	2	16721.5	0
11.041	1	1	2	5703.95	0
11.081	1	1	2	8658.11	0
11.121	1	1	2	25086.5	0
11.161	1	1	2	73585.4	0
11.201	1	1	2	93660.7	0
11.241	1	1	2	91961	0
11.281	1	1	2	67456.3	0
11.321	1	1	2	24416.1	0
11.361	1	1	2	5166.26	0
11.401	1	1	2	5480.33	0
11.441	1	1	2	16426.9	0
11.481	1	1	2	40655.2	0
11.521	1	1	2	436.055	0
11.561	1	1	2	482.2	0
11.601	2	1	2	1124.14	0
11.641	2	1	2	811.186	0
11.681	2	1	2	467.835	0
11.721	2	1	2	236.484	0
11.761	2	1	2	246.854	0
11.801	2	1	2	407.968	0
11.841	2	1	2	673.01	0
11.881	2	1	2	2202.91	0
11.921	2	1	2	6898.99	0
11.961	2	1	2	7071.92	0
12.001	2	1	2	1913.49	0
12.041	2	1	2	3066.4	0
12.081	2	1	2	3118.59	0
12.121	2	1	2	2754.88	0
12.161	2	1	2	1994.81	0
12.201	2	1	2	1839.14	0
12.241	2	1	2	2795.29	0
12.281	2	1	2	3244.76	0
12.321	2	1	2	3170.69	0
12.361	2	1	2	2833.3	0
12.401	2	1	2	2506.37	0
12.441	2	1	2	3782.78	0
12.481	2	1	2	6173.54	0
12.521	2	1	2	6292.89	0
12.561	2	1	2	1548.88	0
12.601	2	1	2	2030.11	0
12.641	1	1	3	451.131	0
12.681	1	1	3	1640.25	0
12.721	1	1	3	4197.31	0
12.761	1	1	3	5450.51	0
12.801	1	1	3	5250.31	0
12.841	1	1	3	4684.05	0
12.881	1	1	3	4566.36	0
12.921	1	1	3	5768.38	0
12.961	1	1	3	10375.3	0
13.001	1	1	3	17268.9	0
13.041	1	1	3	4412.03	0
13.081	1	1	3	4238.2	0
13.121	1	1	3	4891.8	0
13.161	1	1	3	7360.43	0
13.201	1	1	3	2948.61	0
13.241	1	1	3	1157.2	0
13.281	1	1	3	869.353	0
13.321	1	1	3	756.957	0
13.361	1	1	3	689.919	0
13.401	1	1	3	691.54	0
13.441	1	1	3	932.784	0
13.481	1	1	3	2384.36	0
13.521	1	1	3	5276.64	0
13.561	1	1	3	6942.36	0
13.601	1	1	3	3507.54	0
13.641	1	1	3	5898.98	0
13.681	1	1	3	11719.7	0
13.721	1	1	3	23923.9	0
13.761	1	1	3	43532.5	0
13.801	1	1	3	42476.9	0
13.841	1	1	3	18091.5	0
13.881	1	1	3	6733.31	0
13.921	1	1	3	3940.07	0
13.961	1	1	3	5084.5	0
14.001	1	1	3	16808.1	0
14.041	1	1	3	11282.7	0
14.081	1	1	3	7367.03	0
14.121	1	1	3	4098.86	0
14.161	1	1	3	1873.9	0
14.201	1	1	3	2900.41	0
14.241	1	1	3	17224.4	0
14.281	1	1	3	75458.4	0
14.321	1	1	3	101913	0
14.361	1	1	3	70860	0
14.401	1	1	3	34687.7	0
14.441	1	1	3	15296.4	0
14.481	1	1	3	4116.33	0
14.521	1	1	3	2603.5	0
14.561	2	1	3	17610.1	0
14.601	2	1	3	7755.27	0
14.641	2	1	3	4320.07	0
14.681	2	1	3	2592.74	0
14.721	2	1	3	1494.37	0
14.761	2	1	3	815.26	0
14.801	2	1	3	668.282	0
14.841	2	1	3	841.414	0
14.881	2	1	3	876.608	0
14.921	2	1	3	737.242	0
14.961	2	1	3	646.945	0
15.001	2	1	3	4125.25	0
15.041	2	1	3	4595.86	0
15.081	2	1	3	5118.07	0
15.121	2	1	3	9476.58	0
15.161	2	1	3	15977.2	0
15.201	2	1	3	20673.9	0
15.241	2	1	3	20611	0
15.281	2	1	3	16280.1	0
15.321	2	1	3	11139.9	0
15.361	2	1	3	8716.57	0
15.401	1	1	4	820.429	0
15.441	1	1	4	551.796	0
15.481	1	1	4	594.559	0
15.521	1	1	4	18546.9	0
15.561	1	1	4	11325.3	0
15.601	1	1	4	3562.99	0
15.641	1	1	4	639.989	0
15.681	1	1	4	203.16	0
15.721	1	1	4	1203.32	0
15.761	1	1	4	3806.07	0
