% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
29227	2	1	5	0	28	2196	0	1	0
29237	2	1	5	0	28	2196	0	1	0
29247	2	1	5	0	28	2196	0	1	0
29249	2	1	5	0	28	2196	0	1	0
29257	2	1	5	0	28	2196	0	1	0
29267	2	1	5	0	28	2196	0	1	0
29277	2	1	5	0	28	2196	0	1	0
29287	2	1	5	0	28	2196	0	1	0
29297	2	1	5	0	28	2196	0	1	0
29307	2	1	5	0	28	2196	0	1	0
29317	2	1	5	0	28	2196	0	1	0
29327	2	1	5	0	28	2196	0	1	0
29337	2	1	5	0	28	2196	0	1	0
29347	2	1	5	0	28	2196	0	1	0
29357	2	1	5	0	28	2196	0	1	0
29367	2	1	5	0	28	2196	0	1	0
29377	2	1	5	0	28	2196	0	1	0
29387	2	1	5	0	28	2196	0	1	0
29397	2	1	5	0	28	2196	0	1	0
29407	2	1	5	0	28	2196	0	1	0
29417	2	1	5	0	28	2196	0	1	0
29427	2	1	5	0	28	2196	0	1	0
29437	2	1	5	0	28	2196	0	1	0
29447	2	1	5	0	28	2196	0	1	0
29457	2	1	5	0	28	2196	0	1	0
29467	2	1	5	0	28	2196	0	1	0
29477	2	1	5	0	28	2196	0	1	0
29487	2	1	5	0	28	2196	0	1	0
29489	2	1	5	0	28	2196	0	1	0
29497	2	1	5	0	28	2196	0	1	0
29507	2	1	5	0	28	2196	0	1	0
29517	2	1	5	0	28	2196	0	1	0
29527	2	1	5	0	28	2196	0	1	0
29537	2	1	5	0	28	2196	0	1	0
29547	2	1	5	0	28	2196	0	1	0
29557	2	1	5	0	28	2196	0	1	0
29567	2	1	5	0	28	2196	0	1	0
29569	2	1	5	0	28	2196	0	1	0
29577	2	1	5	0	28	2196	0	1	0
29587	2	1	5	0	28	2196	0	1	0
29597	2	1	5	0	28	2196	0	1	0
29607	2	1	5	0	28	2196	0	1	0
29617	2	1	5	0	28	2196	0	1	0
29627	2	1	5	0	28	2196	0	1	0
29637	2	1	5	0	28	2196	0	1	0
29647	2	1	5	0	28	2196	0	1	0
29657	2	1	5	0	28	2196	0	1	0
29667	2	1	5	0	28	2196	0	1	0
29677	2	1	5	0	28	2196	0	1	0
29687	2	1	5	0	28	2196	0	1	0
29697	2	1	5	0	28	2196	0	1	0
29707	2	1	5	0	28	2196	0	1	0
29717	2	1	5	0	28	2196	0	1	0
29727	2	1	5	0	28	2196	0	1	0
29729	2	1	5	0	28	2196	0	1	0
29737	2	1	5	0	28	2196	0	1	0
29747	2	1	5	0	28	2196	0	1	0
29757	2	1	5	0	28	2196	0	1	0
29767	2	1	5	0	28	2196	0	1	0
29777	2	1	5	0	28	2196	0	1	0
29787	2	1	5	0	28	2196	0	1	0
29797	2	1	5	0	28	2196	0	1	0
29807	2	1	5	0	28	2196	0	1	0
29817	2	1	5	0	28	2196	0	1	0
29827	2	1	5	0	28	2196	0	1	0
29837	2	1	5	0	28	2196	0	1	0
29847	2	1	5	0	28	2196	0	1	0
29857	2	1	5	0	28	2196	0	1	0
29867	2	1	5	0	28	2196	0	1	0
29877	2	1	5	0	28	2196	0	1	0
29887	2	1	5	0	28	2196	0	1	0
29897	2	1	5	0	28	2196	0	1	0
29907	2	1	5	0	28	2196	0	1	0
29917	2	1	5	0	28	2196	0	1	0
29927	2	1	5	0	28	2196	0	1	0
29937	2	1	5	0	28	2196	0	1	0
29947	2	1	5	0	28	2196	0	1	0
29957	2	1	5	0	28	2196	0	1	0
29967	2	1	5	0	28	2196	0	1	0
29969	2	1	5	0	28	2196	0	1	0
29977	2	1	5	0	28	2196	0	1	0
29987	2	1	5	0	28	2196	0	1	0
29997	2	1	5	0	28	2196	0	1	0
30007	2	1	5	0	28	2196	0	1	0
30017	2	1	5	0	28	2196	0	1	0
30027	2	1	5	0	28	2196	0	1	0
30037	2	1	5	0	28	2196	0	1	0
30047	2	1	5	0	28	2196	0	1	0
30049	2	1	5	0	28	2196	0	1	0
30057	2	1	5	0	28	2196	0	1	0
30067	2	1	5	0	28	2196	0	1	0
